date,nic_1,nic_2,nic_3,size_1,size_2
2010319,-61.7056,158.1913,0,0,0
2010320,-61.6679,158.5018,0,0,0
2010321,-61.6152,158.8958,0,0,0
2010322,-61.5558,159.3374,0,0,0
2010323,-61.4979,159.7909,0,0,0
2010324,-61.4499,160.2203,0,0,0
2010325,-61.42,160.59,1,11,1
2010326,-61.4044,160.9194,0,0,0
2010327,-61.3926,161.2478,0,0,0
2010328,-61.3832,161.5687,0,0,0
2010329,-61.3746,161.8758,0,0,0
2010330,-61.3656,162.1627,0,0,0
2010331,-61.3545,162.4229,0,0,0
2010332,-61.34,162.65,1,11,2
2010333,-61.3155,162.8658,0,0,0
2010334,-61.2793,163.0868,0,0,0
2010335,-61.237,163.299,0,0,0
2010336,-61.1943,163.4884,0,0,0
2010337,-61.1568,163.6411,0,0,0
2010338,-61.1301,163.7429,0,0,0
2010339,-61.12,163.78,1,10,2
2010340,-61.1486,163.7794,0,0,0
2010341,-61.2229,163.778,0,0,0
2010342,-61.3257,163.7761,0,0,0
2010343,-61.44,163.7739,0,0,0
2010344,-61.5486,163.772,0,0,0
2010345,-61.6343,163.7706,0,0,0
2010346,-61.68,163.77,1,10,2
2010347,-61.6967,163.9251,0,0,0
2010348,-61.7081,164.33,0,0,0
2010349,-61.7165,164.8945,0,0,0
2010350,-61.7237,165.5281,0,0,0
2010351,-61.732,166.1405,0,0,0
2010352,-61.7434,166.6412,0,0,0
2010353,-61.76,166.94,1,10,2
2010354,-61.7987,167.0869,0,0,0
2010355,-61.8678,167.2,0,0,0
2010356,-61.9567,167.2907,0,0,0
2010357,-62.055,167.3706,0,0,0
2010358,-62.152,167.4511,0,0,0
2010359,-62.2372,167.5438,0,0,0
2010360,-62.3,167.66,1,10,2
2010361,-62.3451,167.809,0,0,0
2010362,-62.385,167.986,0,0,0
2010363,-62.4209,168.1819,0,0,0
2010364,-62.4537,168.3874,0,0,0
2010365,-62.4845,168.5934,0,0,0
2011001,-62.5294,168.8831,0,0,0
2011002,-62.56,169.05,1,11,2
2011003,-62.5941,169.1993,0,0,0
2011004,-62.6316,169.3422,0,0,0
2011005,-62.6694,169.4787,0,0,0
2011006,-62.7043,169.6087,0,0,0
2011007,-62.7331,169.7323,0,0,0
2011008,-62.7528,169.8494,0,0,0
2011009,-62.76,169.96,1,11,2
2011010,-62.7545,170.0549,0,0,0
2011011,-62.7402,170.1316,0,0,0
2011012,-62.7206,170.2004,0,0,0
2011013,-62.6994,170.2714,0,0,0
2011014,-62.6798,170.3549,0,0,0
2011015,-62.6655,170.461,0,0,0
2011016,-62.66,170.6,1,11,2
2011017,-62.6949,170.8987,0,0,0
2011018,-62.7849,171.4264,0,0,0
2011019,-62.908,172.1068,0,0,0
2011020,-63.042,172.8637,0,0,0
2011021,-63.1651,173.6206,0,0,0
2011022,-63.2551,174.3015,0,0,0
2011023,-63.29,174.83,1,11,2
2011024,-63.2346,175.233,0,0,0
2011025,-63.0917,175.595,0,0,0
2011026,-62.8964,175.9259,0,0,0
2011027,-62.6836,176.2358,0,0,0
2011028,-62.4883,176.5348,0,0,0
2011029,-62.3454,176.8328,0,0,0
2011030,-62.29,177.14,1,10,1
2011031,-62.2917,177.4622,0,0,0
2011032,-62.2959,177.7925,0,0,0
2011033,-62.3018,178.122,0,0,0
2011034,-62.3082,178.4415,0,0,0
2011035,-62.3141,178.7421,0,0,0
2011036,-62.3183,179.0146,0,0,0
2011037,-62.32,179.25,1,10,1
2011038,-62.2809,179.4594,0,0,0
2011039,-62.1713,179.6583,0,0,0
2011040,-62.0028,179.8442,0,0,0
2011041,-61.7868,-179.9853,0,0,0
2011042,-61.535,-179.8325,0,0,0
2011043,-61.2589,-179.7,0,0,0
2011044,-60.97,-179.59,1,10,1
