ascat_1,ascat_2,ascat_3,date,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3
0,0,0,2007282,0,0,0,-65.3826,116.293,1
0,0,0,2007283,0,0,0,-65.3826,116.293,1
0,0,0,2007284,0,0,0,-65.3826,116.293,1
0,0,0,2007285,0,0,0,-65.3826,116.293,1
0,0,0,2007286,0,0,0,-65.3826,116.293,1
0,0,0,2007287,0,0,0,-65.3826,116.293,1
0,0,0,2007288,0,0,0,-65.3826,116.293,1
0,0,0,2007289,0,0,0,-65.3826,116.293,1
0,0,0,2007290,0,0,0,-65.3826,116.293,1
0,0,0,2007291,0,0,0,-65.3826,116.293,0
0,0,0,2007292,0,0,0,-65.3826,116.293,1
0,0,0,2007293,0,0,0,-65.3826,116.293,1
0,0,0,2007294,0,0,0,-65.3826,116.293,1
0,0,0,2007295,0,0,0,-65.3826,116.293,1
0,0,0,2007296,0,0,0,-65.3826,116.293,1
0,0,0,2007297,0,0,0,-65.3826,116.293,0
0,0,0,2007298,0,0,0,-65.3826,116.293,1
0,0,0,2007299,0,0,0,-65.3826,116.293,0
0,0,0,2007300,0,0,0,-65.3826,116.293,1
0,0,0,2007301,0,0,0,-65.3826,116.293,1
0,0,0,2007302,0,0,0,-65.3826,116.293,1
0,0,0,2007303,0,0,0,-65.3826,116.293,1
0,0,0,2007304,0,0,0,-65.3826,116.293,1
0,0,0,2007305,0,0,0,-65.3826,116.293,1
0,0,0,2007306,0,0,0,-65.3826,116.293,1
0,0,0,2007307,0,0,0,-65.3826,116.293,1
0,0,0,2007308,0,0,0,-65.3826,116.293,1
0,0,0,2007309,0,0,0,-65.3826,116.293,1
0,0,0,2007310,0,0,0,-65.3826,116.293,1
0,0,0,2007311,0,0,0,-65.3826,116.293,1
0,0,0,2007312,0,0,0,-65.3826,116.293,1
0,0,0,2007313,0,0,0,-65.3826,116.293,1
0,0,0,2007314,0,0,0,-65.3826,116.293,1
0,0,0,2007315,0,0,0,-65.3826,116.293,1
0,0,0,2007316,0,0,0,-65.3826,116.293,1
0,0,0,2007317,0,0,0,-65.3826,116.293,1
0,0,0,2007318,0,0,0,-65.3826,116.293,1
0,0,0,2007319,0,0,0,-65.3826,116.293,1
0,0,0,2007320,0,0,0,-65.3826,116.293,1
0,0,0,2007321,0,0,0,-65.3826,116.293,1
0,0,0,2007322,0,0,0,-65.3826,116.293,1
0,0,0,2007323,0,0,0,-65.3826,116.293,1
0,0,0,2007324,0,0,0,-65.3826,116.293,1
0,0,0,2007325,0,0,0,-65.3826,116.293,1
