ascat_1,ascat_2,ascat_3,date,qscat_1,qscat_2,qscat_3
-74.6408,-26.1501,1,2018337,0,0,0
-74.7041,-26.0084,1,2018338,0,0,0
-74.7041,-26.0084,1,2018339,0,0,0
-74.7041,-26.0084,1,2018340,0,0,0
-74.7426,-26.2353,1,2018341,0,0,0
-74.6945,-26.1531,1,2018342,0,0,0
-74.6945,-26.1531,1,2018343,0,0,0
-74.7149,-26.2726,1,2018344,0,0,0
-74.6842,-26.5003,1,2018345,0,0,0
-74.6842,-26.5003,1,2018346,0,0,0
-74.6804,-26.8757,1,2018347,0,0,0
-74.6804,-26.8757,1,2018348,0,0,0
-74.6846,-26.4912,1,2018349,0,0,0
-74.6648,-26.5605,1,2018350,0,0,0
-74.6648,-26.5605,1,2018351,0,0,0
-74.724,-26.7214,1,2018352,0,0,0
-74.8375,-26.9815,1,2018353,0,0,0
-74.8865,-27.2017,1,2018354,0,0,0
-74.8865,-27.2017,1,2018355,0,0,0
-74.8865,-27.2017,1,2018356,0,0,0
-74.8865,-27.2017,1,2018357,0,0,0
-74.8865,-27.2017,1,2018358,0,0,0
-74.8865,-27.2017,1,2018359,0,0,0
-74.8525,-27.1843,1,2018360,0,0,0
-74.8525,-27.1843,1,2018361,0,0,0
-74.8525,-27.1843,1,2018362,0,0,0
-74.8525,-27.1843,1,2018363,0,0,0
-74.8525,-27.1843,1,2018364,0,0,0
-74.8525,-27.1843,1,2018365,0,0,0
-74.8717,-27.3052,1,2019001,0,0,0
-74.8717,-27.3052,1,2019002,0,0,0
-74.8717,-27.3052,1,2019003,0,0,0
-74.8621,-27.6266,1,2019004,0,0,0
-74.8621,-27.6266,1,2019005,0,0,0
-74.8621,-27.6266,1,2019006,0,0,0
-74.9238,-27.5993,1,2019007,0,0,0
-74.9238,-27.5993,1,2019008,0,0,0
-74.9238,-27.5993,1,2019009,0,0,0
-74.9238,-27.5993,1,2019010,0,0,0
-74.9238,-27.5993,1,2019011,0,0,0
-74.9238,-27.5993,1,2019012,0,0,0
-74.9051,-27.554,1,2019013,0,0,0
-74.9051,-27.554,1,2019014,0,0,0
-74.9051,-27.554,1,2019015,0,0,0
-74.9051,-27.554,1,2019016,0,0,0
-74.9051,-27.554,1,2019017,0,0,0
-74.8924,-27.6536,1,2019018,0,0,0
