ascat_1,ascat_2,ascat_3,date,oscat_1,oscat_2,oscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3
0,0,0,2009063,0,0,0,-66.5587,80.8895,1,0,0,0
0,0,0,2009064,0,0,0,-66.5587,80.8895,1,0,0,0
0,0,0,2009065,0,0,0,-66.5817,80.8488,1,0,0,0
0,0,0,2009066,0,0,0,-66.5817,80.8488,1,0,0,0
0,0,0,2009067,0,0,0,-66.5916,80.805,1,0,0,0
0,0,0,2009068,0,0,0,-66.5868,80.7567,1,0,0,0
0,0,0,2009069,0,0,0,-66.5651,80.7551,1,0,0,0
0,0,0,2009070,0,0,0,-66.5853,80.7071,1,0,0,0
0,0,0,2009071,0,0,0,-66.59,80.6947,1,0,0,0
0,0,0,2009072,0,0,0,-66.59,80.6947,1,0,0,0
0,0,0,2009073,0,0,0,-66.5772,80.7198,1,0,0,0
0,0,0,2009074,0,0,0,-66.5868,80.7556,1,0,0,0
0,0,0,2009075,0,0,0,-66.5924,80.8433,1,0,0,0
0,0,0,2009076,0,0,0,-66.5924,80.8433,1,0,0,0
0,0,0,2009077,0,0,0,-66.5924,80.8433,1,0,0,0
0,0,0,2009078,0,0,0,-66.5924,80.8433,1,0,0,0
0,0,0,2009079,0,0,0,-66.5924,80.8433,1,0,0,0
0,0,0,2009080,0,0,0,-66.5924,80.8433,1,0,0,0
0,0,0,2009081,0,0,0,-66.5644,80.8558,1,0,0,0
0,0,0,2009082,0,0,0,-66.5577,80.8387,1,0,0,0
0,0,0,2009083,0,0,0,-66.581,80.8386,1,0,0,0
0,0,0,2009084,0,0,0,-66.5877,80.8557,1,0,0,0
0,0,0,2009085,0,0,0,-66.5702,80.8336,1,0,0,0
0,0,0,2009086,0,0,0,-66.6005,80.8307,1,0,0,0
0,0,0,2009087,0,0,0,-66.5604,80.9064,1,0,0,0
0,0,0,2009088,0,0,0,-66.5753,80.8619,1,0,0,0
0,0,0,2009089,0,0,0,-66.5753,80.8619,1,0,0,0
0,0,0,2009090,0,0,0,-66.5753,80.8619,1,0,0,0
0,0,0,2009091,0,0,0,-66.5753,80.8619,1,0,0,0
0,0,0,2009092,0,0,0,-66.5916,80.805,1,0,0,0
0,0,0,2009093,0,0,0,-66.5554,80.8291,1,0,0,0
0,0,0,2009094,0,0,0,-66.5248,80.8613,1,0,0,0
0,0,0,2009095,0,0,0,-66.5557,80.8686,1,0,0,0
0,0,0,2009096,0,0,0,-66.5817,80.8488,1,0,0,0
0,0,0,2009097,0,0,0,-66.58,80.8495,1,0,0,0
0,0,0,2009098,0,0,0,-66.5705,80.8136,1,0,0,0
0,0,0,2009099,0,0,0,-66.5769,80.8005,1,0,0,0
0,0,0,2009100,0,0,0,-66.5513,80.8506,1,0,0,0
0,0,0,2009101,0,0,0,-66.5513,80.8506,1,0,0,0
0,0,0,2009102,0,0,0,-66.5702,80.7834,1,0,0,0
0,0,0,2009103,0,0,0,-66.5712,80.7129,1,0,0,0
0,0,0,2009104,0,0,0,-66.5673,80.7636,1,0,0,0
0,0,0,2009105,0,0,0,-66.5673,80.7636,1,0,0,0
0,0,0,2009106,0,0,0,-66.5494,80.8211,1,0,0,0
0,0,0,2009107,0,0,0,-66.5938,80.8135,1,0,0,0
0,0,0,2009108,0,0,0,-66.56,80.7876,1,0,0,0
0,0,0,2009109,0,0,0,-66.56,80.7876,1,0,0,0
0,0,0,2009110,0,0,0,-66.5552,80.7989,1,0,0,0
0,0,0,2009111,0,0,0,-66.5249,80.7517,1,0,0,0
0,0,0,2009112,0,0,0,-66.5249,80.7517,1,0,0,0
0,0,0,2009113,0,0,0,-66.5366,80.7959,1,0,0,0
0,0,0,2009114,0,0,0,-66.5584,80.7976,1,0,0,0
0,0,0,2009115,0,0,0,-66.5584,80.7976,1,0,0,0
0,0,0,2009116,0,0,0,-66.5452,80.8426,1,0,0,0
0,0,0,2009117,0,0,0,-66.5611,80.8665,1,0,0,0
0,0,0,2009118,0,0,0,-66.5862,80.8072,1,0,0,0
0,0,0,2009119,0,0,0,-66.5848,80.837,1,0,0,0
0,0,0,2009120,0,0,0,-66.5848,80.837,1,0,0,0
0,0,0,2009121,0,0,0,-66.5542,80.8098,1,0,0,0
0,0,0,2009122,0,0,0,-66.5542,80.8098,1,0,0,0
0,0,0,2009123,0,0,0,-66.5542,80.8098,1,0,0,0
0,0,0,2009124,0,0,0,-66.5542,80.8098,1,0,0,0
0,0,0,2009125,0,0,0,-66.576,80.7612,1,0,0,0
0,0,0,2009126,0,0,0,-66.576,80.7612,1,0,0,0
0,0,0,2009127,0,0,0,-66.5692,80.7932,1,0,0,0
0,0,0,2009128,0,0,0,-66.5692,80.7932,1,0,0,0
0,0,0,2009129,0,0,0,-66.5692,80.7932,1,0,0,0
0,0,0,2009130,0,0,0,-66.5647,80.8347,1,0,0,0
0,0,0,2009131,0,0,0,-66.5641,80.8256,1,0,0,0
0,0,0,2009132,0,0,0,-66.5827,80.7783,1,0,0,0
0,0,0,2009133,0,0,0,-66.5827,80.7783,1,0,0,0
0,0,0,2009134,0,0,0,-66.5606,80.7967,1,0,0,0
0,0,0,2009135,0,0,0,-66.5606,80.7967,1,0,0,0
0,0,0,2009136,0,0,0,-66.5469,80.7824,1,0,0,0
0,0,0,2009137,0,0,0,-66.5344,80.7875,1,0,0,0
0,0,0,2009138,0,0,0,-66.5456,80.8226,1,0,0,0
0,0,0,2009139,0,0,0,-66.5268,80.7812,1,0,0,0
0,0,0,2009140,0,0,0,-66.5418,80.7646,1,0,0,0
0,0,0,2009141,0,0,0,-66.5418,80.7646,1,0,0,0
0,0,0,2009142,0,0,0,-66.5418,80.7646,1,0,0,0
0,0,0,2009143,0,0,0,-66.5418,80.7646,1,0,0,0
0,0,0,2009144,0,0,0,-66.5415,80.7846,1,0,0,0
0,0,0,2009145,0,0,0,-66.5415,80.7846,1,0,0,0
0,0,0,2009146,0,0,0,-66.5415,80.7846,1,0,0,0
0,0,0,2009147,0,0,0,-66.5415,80.7846,1,0,0,0
0,0,0,2009148,0,0,0,-66.5415,80.7846,1,0,0,0
0,0,0,2009149,0,0,0,-66.5415,80.7846,1,0,0,0
0,0,0,2009150,0,0,0,-66.5415,80.7846,1,0,0,0
0,0,0,2009151,0,0,0,-66.5464,80.8619,1,0,0,0
0,0,0,2009152,0,0,0,-66.5464,80.8619,1,0,0,0
0,0,0,2009153,0,0,0,-66.5464,80.8619,1,0,0,0
0,0,0,2009154,0,0,0,-66.5464,80.8619,1,0,0,0
0,0,0,2009155,0,0,0,-66.5464,80.8619,1,0,0,0
0,0,0,2009156,0,0,0,-66.5464,80.8619,1,0,0,0
0,0,0,2009157,0,0,0,-66.5464,80.8619,1,0,0,0
0,0,0,2009158,0,0,0,-66.5464,80.8619,1,0,0,0
0,0,0,2009159,0,0,0,-66.5464,80.8619,1,0,0,0
0,0,0,2009160,0,0,0,-66.5464,80.8619,1,0,0,0
0,0,0,2009161,0,0,0,-66.5295,80.7113,1,0,0,0
0,0,0,2009162,0,0,0,-66.5136,80.775,1,0,0,0
0,0,0,2009163,0,0,0,-66.5281,80.7504,1,0,0,0
0,0,0,2009164,0,0,0,-66.5281,80.7504,1,0,0,0
0,0,0,2009165,0,0,0,-66.5281,80.7504,1,0,0,0
