date,ers_1,ers_2,ers_3,nic_1,nic_2,nic_3,nscat_1,nscat_2,nscat_3,qscat_1,qscat_2,qscat_3,seawinds_1,seawinds_2,seawinds_3,size_1,size_2
1992333,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992334,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992335,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992336,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992337,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992338,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992339,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992340,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992341,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992342,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992343,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992344,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992345,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992346,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992347,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992348,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992349,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992350,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992351,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992352,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992353,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992354,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992355,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992356,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992357,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992358,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992359,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992360,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992361,-64.35,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992362,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992363,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992364,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992365,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992366,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993001,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993002,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993003,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993004,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993005,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993006,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993007,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993008,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993009,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993010,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993011,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993012,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993013,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993014,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993015,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993016,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993017,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993018,-64.35,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
